state,city,common_name,count
Iowa,Coon Rapids,Northern red oak,40
Iowa,Coon Rapids,Northern white cedar,12
Iowa,Coon Rapids,Norway maple,88
Iowa,Coon Rapids,Pear,14
Iowa,Coon Rapids,Pin oak,5
Iowa,Coon Rapids,Red maple,9
Iowa,Coon Rapids,Siberian elm,1
Iowa,Coon Rapids,Silver maple,65
Iowa,Coon Rapids,Spruce,16
Iowa,Coon Rapids,Sugar maple,26
Iowa,Coon Rapids,Swamp white oak,15
Iowa,Coon Rapids,White ash,9
Iowa,Dallas Center,American basswood,11
Iowa,Dallas Center,American sycamore,8
Iowa,Dallas Center,Apple,41
Iowa,Dallas Center,Black walnut,3
Iowa,Dallas Center,Blue spruce,8
Iowa,Dallas Center,Bur oak,24
Iowa,Dallas Center,Eastern red cedar,3
Iowa,Dallas Center,Eastern white pine,50
Iowa,Dallas Center,Green ash,148
Iowa,Dallas Center,Hickory,4
Iowa,Dallas Center,Honeylocust,15
Iowa,Dallas Center,Littleleaf linden,17
Iowa,Dallas Center,Maple,1
Iowa,Dallas Center,Mulberry,2
